id,name,category,description,price,stock,image,abv,size,origin,popular
p1,Kicking Horse IPA,Beer,"A hoppy, refreshing IPA with notes of citrus and pine. Brewed locally in the heart of the mountains using pure spring water and premium hops.",12.99,24,https://images.unsplash.com/photo-1566633806327-68e152aaf26d?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,6.5%,6 x 12oz bottles,Local,true
p2,Mountain Valley Red Blend,Wine,"A robust red blend with flavors of blackberry, cherry, and subtle oak. Perfect for pairing with hearty mountain meals.",29.99,15,https://images.unsplash.com/photo-1586370434639-0fe23c450d6d?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,13.5%,750ml,"Okanagan Valley, BC",true
p3,Alpine Craft Whiskey,Spirits,"Small-batch whiskey aged in oak barrels with notes of vanilla, caramel, and a smooth finish. Perfect for sipping by the fire after a day on the slopes.",45.99,8,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,40%,750ml,"Rocky Mountains, Canada",false
p4,Local Artisan Cheese,Groceries,"Handcrafted artisan cheese made from locally sourced milk. Rich, creamy, and perfect for your charcuterie board.",8.99,32,https://images.unsplash.com/photo-1486297678162-eb2a19b0a32d?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,,200g,Local Valley Farm,false
p5,Smoky Mountain Gin,Spirits,"A unique gin infused with mountain botanicals and a hint of smokiness. Bold and distinctive, perfect for craft cocktails.",34.99,12,https://images.unsplash.com/photo-1619451334792-150fd785ee74?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,42%,750ml,Mountain Distillery,false
p6,Organic Maple Syrup,Groceries,"Pure organic maple syrup harvested from sustainable forests. Rich amber color with a deep, complex flavor.",15.99,18,https://images.unsplash.com/photo-1589656613566-eab25964fb6b?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,,250ml,Canadian Forests,true
p7,Wildflower Honey Ale,Beer,"A light, refreshing ale with subtle honey notes from local wildflower honey. Smooth and easy drinking.",10.99,20,https://images.unsplash.com/photo-1600788886242-5c96aabe3757?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,4.8%,6 x 12oz bottles,Local,false
p8,Rosé All Day,Wine,"A crisp, dry rosé with notes of strawberry and citrus. Perfect for summer evenings on the patio.",22.99,10,https://images.unsplash.com/photo-1558682749-fddf292e361a?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,12%,750ml,"Okanagan Valley, BC",false
p101,Mountain Lager,Beer,,11.99,45,https://images.unsplash.com/photo-1613163324824-89e08fcd0618?w=800&auto=format&fit=crop&q=80,,,,false
p102,Alpine Chardonnay,Wine,,28.99,12,https://images.unsplash.com/photo-1597043851759-3b383a6d1c14?w=800&auto=format&fit=crop&q=80,,,,false
p103,Local Wildflower Honey,Groceries,,12.5,30,https://images.unsplash.com/photo-1587049352851-8d4e89133924?w=800&auto=format&fit=crop&q=80,,,,false